Constant,DDF Fort Verm.,GP/BL Precip.
-4.542082631845707,-1.1419488335112364,3.5744004358528723
-3.84012091572691,-0.500246435741371,2.406253190364741
-3.624846639356139,-2.112544889304963,1.3802839011129255
-4.024004367565119,-1.0417558242873948,2.37183027331073
-4.073453933039627,-1.6846625274017135,1.480358443736315
-3.6796746064115466,-1.597629371256604,1.4170532897479435
-3.4092987151236582,-0.5534703401616669,1.5864580378015198
-2.6935915127455106,-1.1505907390167787,1.2050544966586012
-4.818782587591142,-1.5833706381376402,2.8796797824061926
-2.648571147868221,-1.505371330095203,0.8182154438173111
-3.3511897590736655,-1.398009204551265,1.48364189048636
-4.352319351834807,-2.129181439941362,2.322277204266846
-4.49632702468559,-1.1123749788531767,2.9706143195431802
-4.1135564448378785,-1.6899769826637288,1.2700462729204953
-5.037431025843345,-1.771654825987704,2.9273800739289015
-4.718280183072206,-0.5011179687296606,2.906481487534516
-3.7798830339686917,-0.8149348189290005,2.7988435187811453
-4.1599334358459625,-1.5069271100516912,1.7139170905158152
-3.447693403953206,-0.8192203254883781,1.6308646859879083
-9.887582252267945,-2.9007407093239297,5.037059537603407
-5.486603389667668,-2.0175158331185226,2.3943092452485604
-3.000786715952128,-1.488759369403594,1.255911687169988
-2.895572173063411,-0.17722147612911082,2.42335171530179
-3.175154585901631,-1.1666051921735396,2.121564850030156
-5.823172728357526,-1.7622753136603588,2.8553062958797075
-4.331310604423259,-1.501018627898731,2.7537839259625474
-2.624338306333006,-1.198765218266052,0.8699712480946294
-3.2540872208854204,-0.6076534650630541,1.6091216013453005
-3.5601010896416674,-1.3426192508256352,1.3104031064556285
-13.054892132897107,-3.831277417152968,7.622860423236686
-3.915635738561281,-1.170379107788075,2.1792517729228074
-3.907820653846197,-1.519858926595483,1.6956331504206725
-4.378932954363976,-1.6631297120508057,1.9935878384567645
-4.984126257795525,-2.9983981104274973,0.9323340607341225
-3.5156815515970083,-1.3910425770372126,1.4397036195965478
-4.735721550552775,-2.3285553989840793,1.4649334760930832
-4.964103349649307,-0.9738375754635034,3.2460258038582253
-3.638301324395553,-1.7098547858147015,1.950985448809935
-7.3981705753228875,-3.8673864333043824,2.6907716360030896
-5.651756307668726,-3.7343651857880458,2.061240823028416
-4.699258874000329,-1.1448264466431926,2.2225316025470025
-4.686538545510062,-0.819899055573555,2.8823648005997535
-10.957008778614783,-4.188056673262786,5.716924844321013
-3.090584351641282,-1.3600217418724145,1.6674826461497305
-4.579466900925622,-1.8193702221544086,2.7410205955116926
-3.6538926396881357,-1.2801744547679321,1.6597362666216549
-4.055042801198366,-1.325774537404307,2.1847757730201596
-3.4400670146471146,-1.1854976650511306,1.5383757650836414
-5.996680579822366,-2.873056014147349,1.7106766517789076
-3.0579319942848073,-1.5757800124264016,1.6866096959158539
-6.01649429969813,-1.7557595742326884,3.2465301194218883
-5.790725903339918,-2.286138691283151,2.9315334816116345
-8.757821269935059,-2.6369408812239623,5.0591889837724775
-3.0523169507010257,-0.7428802900952272,1.9031445112106227
-3.0623768962747833,-1.3131668881572771,1.8891085841419495
-3.145687101006152,-0.7454887869982539,1.9942872426247573
-3.430882076821992,-0.7393441074570309,2.068247629273706
-2.7460815060330703,-1.1608232028560757,1.4566864234419583
-2.8813525591377425,0.17527294895214157,2.980603920772215
-4.183165188455378,-1.279875182437413,2.121749048656273
-4.985740166679252,-1.1869459496612083,2.848638977270348
-3.336360996145196,-1.6739048486115253,1.455165722459361
-4.023638715592045,-0.6608823535460315,2.918727761428349
-3.8471748354763005,-1.2760973458983658,1.8356072046415342
-8.275676263559985,-1.9723106391696306,4.234470364051993
-4.181274422731711,-0.6798311877361918,2.34818621245065
-3.239432504110595,-1.1937304814556873,1.5398688889517171
-3.233247108814084,-1.2919395542668877,2.3270933982041058
-5.97164690923498,-1.9734234161584292,3.0534131917784855
-4.122927266306809,-0.8309205780969126,1.9910038490054422
-3.8084123729025845,-1.9863704447268458,1.4294392886251892
-2.6120539854205163,-0.5191655412253945,1.2316832226204797
-10.929670526632753,-9.036024012603537,3.8151543754719017
-4.002009546386414,-1.8916110170231648,1.6980934209363563
-4.2740846828490895,-1.2755671267243733,3.16447783432471
-5.0692673603433605,-2.3223700850799465,2.044341159758459
-3.7133170435904366,-2.0781143909886097,0.675329453042863
