YEAR,OBSERVER,MAG,floods1only,floods2only,floods3only,Floods23only,floods123,floods123W,Beltaos
1960,          ,0,0,0,0,0,0,0,0
1961,          ,0,0,0,0,0,0,0,0
1962,trad(incorr),0,0,0,0,0,0,0,0
1963,terry prowse,3,0,0,1,1,1,1,1
1964,          ,0,0,0,0,0,0,0,0
1965,trad        ,3,0,0,1,1,1,1,1
1966,          ,0,0,0,0,0,0,0,0
1967,"tp says yes; kt agrees based on pr and la daily, noted 7 jan 2014 ",0,0,0,0,0,0,0,0
1968,          ,0,0,0,0,0,0,0,0
1969,          ,0,0,0,0,0,0,0,0
1970,          ,0,0,0,0,0,0,0,0
1971,          ,0,0,0,0,0,0,0,0
1972,terry prowse,3,0,0,1,1,1,1,1
1973,          ,0,0,0,0,0,0,0,0
1974,trad        ,3,0,0,1,1,1,1,1
1975,          ,0,0,0,0,0,0,0,0
1976,          ,0,0,0,0,0,0,0,0
1977,          ,0,0,0,0,0,0,0,0
1978,          ,0,0,0,0,0,0,0,0
1979,trad        ,0,0,0,0,0,0,0,0
1980,          ,0,0,0,0,0,0,0,0
1981,          ,0,0,0,0,0,0,0,0
1982,          ,0,0,0,0,0,0,0,0
1983,          ,0,0,0,0,0,0,0,0
1984,          ,0,0,0,0,0,0,0,0
1985,          ,0,0,0,0,0,0,0,0
1986,          ,0,0,0,0,0,0,0,0
1987,          ,0,0,0,0,0,0,0,0
1988,          ,0,0,0,0,0,0,0,0
1989,          ,0,0,0,0,0,0,0,0
1990,WBNP        ,0,0,0,0,0,0,0,0
1991,          ,0,0,0,0,0,0,0,0
1992,          ,0,0,0,0,0,0,0,0
1993,          ,0,0,0,0,0,0,0,0
1994,WBNP        ,2,0,1,0,1,1,1,0
1995,          ,0,0,0,0,0,0,0,0
1996,WBNP        ,3,0,0,1,1,1,1,1
1997,WBNP        ,3,0,0,1,1,1,1,1
1998,          ,0,0,0,0,0,0,0,0
1999,          ,0,0,0,0,0,0,0,0
2000,          ,0,0,0,0,0,0,0,0
2001,          ,0,0,0,0,0,0,0,0
2002,          ,0,0,0,0,0,0,0,0
